;Padualaan;Kromme Rijn;Galgenwaard;Vaartsche Rijn
07:00;0;0;0;0
07:15;0;0;0;0
07:30;0;0;0.001325224;0.003610749
07:45;0;0;0.006261683;0.002166449
08:00;0;0.000646088;0.018967402;0.013989817
08:15;0.040943872;0.002487439;0.064173042;0.075282704
08:30;0.039945241;0.002169386;0.059369509;0.096734468
08:45;0.012998055;0.001268247;0.044257271;0.149807626
09:00;0.0132077;0.00085103;0.033549866;0.10246977
09:15;0.499315511;0.002573847;0.050733944;0.087329728
09:30;0.292456227;0.002333096;0.021601763;0.070386268
09:45;0.638446816;0.00270846;0.029254806;0.082160537
10:00;0.092763434;0.005037403;0.006493597;0.006409079
10:15;0.008996454;0.001011865;0.00575787;0.005229361
10:30;0.007764796;0.001205204;0.00496959;0.00715702
10:45;0.04348286;0.003237969;0.007197337;0.014567504
11:00;0;0.000960352;0.004047957;0.007385623
11:15;0.019161938;0.010096357;0.006603658;0.009455266
11:30;0.059050797;0.007426591;0.012196969;0.011300307
11:45;0.024640287;0.004743962;0.016233994;0.022567181
12:00;0.025489952;0.002074324;0.012955207;0.012793257
12:15;0.009979673;0.000865891;0.009352605;0.011276191
12:30;0.05330157;0.002603105;0.008528457;0.009696608
12:45;0.044173064;0.001816539;0.017007041;0.018913447
13:00;0.016564899;0.000931559;0.016123558;0.018827476
13:15;0.02174143;0.001956273;0.016896606;0.017408968
13:30;0.040031839;0.004145435;0.028271445;0.022180315
13:45;0.022086532;0.005682507;0.033130599;0.054247204
14:00;0.024847348;0.001956273;0.026062738;0.029917634
14:15;0.020706124;0.001024714;0.015019205;0.017365983
14:30;0.023845439;0.001088571;0.017730214;0.017384009
14:45;0.006902041;0.00111787;0.021424454;0.020976732
15:00;0.024392824;0.001825059;0.023757064;0.023315751
15:15;0.024640287;0.003765825;0.024119076;0.022296375
15:30;0.018252064;0.005216728;0.028860433;0.02688002
15:45;0.028988573;0.005135216;0.02435099;0.036197758
16:00;0.016968921;0.002648125;0.034787129;0.047292004
16:15;0.015429402;0.001419875;0.023341042;0.038873789
16:30;0.006441905;0.001086818;0.015460946;0.033031666
16:45;0.014256675;0.001154522;0.017792761;0.037468919
17:00;0.00088128;0.000539322;0.007973703;0.030144655
17:15;0.000552898;0.000501915;0.009139606;0.030807175
17:30;0.000682992;0.000848064;0.010178198;0.032638953
17:45;0.000539648;0.000897422;0.012493872;0.035258128
18:00;0.000612338;0.000651714;0.008824447;0.039257854
18:15;0.000345819;0.000809725;0.008908224;0.028920591
18:30;0.0010187;0.000887079;0.007689098;0.02324768
18:45;0.000496722;0.000396497;0.006450598;0.019569242
19:00;0.011791962;0.000596829;0.007547038;0.023133273
19:15;0.006211837;0.002864542;0.024847949;0.041652568
19:30;0.013044858;0.000586882;0.014610594;0.033038353
19:45;0.010353062;0.002654942;0.013914852;0.035462713
20:00;0;0.002934409;0.025179255;0.045908093
20:15;0;0.000558935;0.01325224;0.034817936
20:30;0.004348286;0.000586882;0.006957426;0.024914168
20:45;0.008282449;0.000558935;0.020540972;0.025275242
21:00;0.008282449;0.000558935;0.00993918;0.026306885
21:15;0;0.000419201;0.007288732;0.018827476
21:30;0;0.000139734;0.002650448;0.017022102
21:45;0.004141225;0.000279468;0.007951344;0.014700906
22:00;0.004141225;0.000279468;0.00993918;0.012637621
22:15;0;0.000139734;0.007288732;0.010058515
