;Vaartsche Rijn;Galgenwaard;Kromme Rijn;Padualaan;Heidelberglaan;UMC;WKZ
07:00;0.022168039;0.021369141;0.015488838;0.198714304;0.103194421;0.608466526;0.70943816
07:15;0;0;0;0;0;0;0
07:30;0.066836638;0.239334381;0.06505312;0.096061643;0.331696353;1;1
07:45;0.143142195;0.390342979;0.129073651;0.161332405;0.235872962;1;1
08:00;0.011959195;0.04098324;0.012387433;0.04473824;0.170531983;0.311313386;0.37906202
08:15;0.009193631;0.025749475;0.010050905;0.083928197;0.349820711;0.395624059;0.481720548
08:30;0.014424278;0.038981879;0.014542781;0.224647365;0.407994764;0.455192681;0.554252611
08:45;0.024851272;0.037289817;0.014597497;0.513019743;0.333295531;0.437128534;0.532257308
09:00;0.056815667;0.035006517;0.031644645;0.826180058;0.656297409;0.957012388;1
09:15;0.059020841;0.034261698;0.060514821;0.968908628;1;1;1
09:30;0.05001638;0.03492376;0.052522956;1;1;1;1
09:45;0.063266918;0.03054981;0.018057645;0.558516907;0.567817268;0.559631047;0.681419061
10:00;0.341107193;0.18934682;0.065190363;1;1;1;1
10:15;0.214586618;0.130636683;0.079057611;1;1;1;1
10:30;0.227301572;0.09081885;0.056631064;1;1;1;1
10:45;0.249152925;0.080134279;0.073087955;1;1;1;1
11:00;0.266016469;0.071380429;0.113177212;1;1;1;1
11:15;0.134811736;0.069974883;0.24486803;1;1;1;1
11:30;0.186211528;0.050911042;0.184507388;1;1;1;1
11:45;0.160274922;0.068060715;0.059293208;0.958034123;0.987349479;0.836727903;0.975578243
12:00;0.117173921;0.044637762;0.025384485;0.850602153;0.647246641;0.606161729;0.706750894
12:15;0.134938999;0.033294501;0.035411981;0.587098905;0.930176441;0.426238831;0.496970794
12:30;0.12118528;0.049861329;0.027535712;0.695172153;0.8087073;0.513969831;0.599260265
12:45;0.102974117;0.036189675;0.027979837;0.671065377;0.599193413;0.452000519;0.52700749
13:00;0.133008234;0.087337748;0.047653159;0.945622413;0.851710637;0.508207837;0.5925421
13:15;0.11210694;0.062207944;0.107991621;0.91093785;1;1;1
13:30;0.118440666;0.062682814;0.206840526;1;1;1;1
13:45;0.122240901;0.061258205;0.125631687;1;1;1;1
14:00;0.106192058;0.145723756;0.045904419;0.927629597;0.725452025;0.68853965;0.802798974
14:15;0.077060326;0.060783335;0.037431359;0.508262659;0.701300862;0.709877614;0.827677854
14:30;0.088038784;0.061733074;0.032698658;0.4518619;0.445771819;0.601552134;0.701376363
14:45;0.069992858;0.043158659;0.022217596;0.341371887;0.363959715;0.533201665;0.621683515
15:00;0.067362235;0.063693827;0.041095385;0.32586988;0.388049067;0.550363326;0.641693058
15:15;0.066011494;0.031024827;0.082989577;0.348387638;0.717446927;0.564675375;0.658380111
15:30;0.073048967;0.091649872;0.116596531;0.423661519;0.99263205;1;1
15:45;0.072140059;0.042593407;0.084532303;0.369050378;0.595929042;0.765388074;0.892399966
16:00;0.059292827;0.038567438;0.021227173;0.214051076;0.29199936;0.474094058;0.552767329
16:15;0.066504117;0.037637262;0.008743699;0.249900215;0.278910267;0.346611797;0.404130096
16:30;0.062703882;0.034665496;0.01247712;0.182318735;0.200070816;0.338805225;0.395028066
16:45;0.066183615;0.099842807;0.013062876;0.147346787;0.206744073;0.545820465;0.636396335
17:00;0.108058431;0.036353528;0.070464321;0.384343333;0.332493823;0.905105578;1
17:15;0.145268634;0.109509392;0.150352883;0.493235768;0.454826643;0.915656271;1
17:30;0.140582549;0.155449669;0.233981324;0.752429879;0.766466397;0.775849534;1
17:45;0.114530316;0.117660433;0.11652082;0.562056054;0.669341938;0.630938947;0.902994216
18:00;0.099089488;0.082349901;0.145130179;0.346476994;0.552411651;0.551542433;0.78936263
18:15;0.166185478;0.20620981;0.160960429;0.381563272;0.582926551;0.974831211;1
18:30;0.143485202;0.063968226;0.163106029;0.209329851;0.356931774;0.287735893;0.411805055
18:45;0.189741764;0.073726091;0.157848041;0.31627561;0.468317263;0.510064226;0.729999389
19:00;0.099926699;0.143447209;0.033360574;0.085811889;0.276697129;0.22338806;0.260458066
19:15;0.134908352;0.078353518;0.052920197;0.151495064;0.320113306;0.152116632;0.17735954
19:30;0.145675685;0.166679301;0.061955353;0.082633671;0.421201719;0.407949148;0.475646039
19:45;0.157614758;0.097229592;0.02846074;0.053711886;0.256511847;0.101641567;0.11850842
20:00;0.23276441;0.157063188;0.042013473;0.047514361;0.34054159;0.123421903;0.143903082
20:15;0.138328564;0.094237913;0.033881833;0.037185152;0.241032684;0.079861232;0.093113758
20:30;0.125692781;0.052354396;0.027105467;0.033053468;0.163636868;0.101641567;0.11850842
20:45;0.097306024;0.040938776;0.02853207;0.030443984;0.16293856;0.038211116;0.044552038
21:00;0.120372452;0.058337755;0.018973827;0.016526734;0.20344043;0.043560672;0.050789323
21:15;0.071159405;0.020941758;0.027105467;0.004131684;0.126044614;0.021780336;0.025394661
21:30;0.087120393;0.032908477;0.025750193;0.018592576;0.154791632;0.03630056;0.042324436
21:45;0.063843952;0.026925118;0.017618553;0.014460892;0.148157705;0.007260112;0.008464887
22:00;0.084460229;0.038891837;0.009486913;0.008263367;0.101720215;0.007260112;0.008464887
22:15;0;0;0;0;0;0;0
