WaitingTime;Delay;DelayPR;DelayCS;OneMin;OneMinCS;OneMinPR;
22062;6699;6430;6927;95;91;97;
21456;7153;6889;7364;94;90;97;
21595;6284;6160;6385;95;91;98;
21534;6536;6365;6669;95;91;97;
21169;6167;5967;6332;94;90;97;
21359;6404;6091;6668;95;91;98;
21567;6655;6279;6947;94;89;98;
21423;6004;5904;6085;96;91;99;
21459;6191;5979;6363;95;91;97;
20983;6761;6444;7013;95;90;98;
21776;6880;6735;7002;94;90;98;
21611;7237;7008;7428;95;90;99;
21377;6577;6394;6728;96;92;99;
21647;5991;5802;6142;94;90;97;
21593;6328;6265;6378;95;90;98;
21455;6280;6041;6476;94;90;98;
21432;6286;6104;6433;93;91;95;
21406;5411;5352;5461;95;92;98;
21309;5904;5801;5995;93;89;97;
21044;5397;5257;5509;94;91;96;
21433;7106;6882;7293;94;91;97;
21826;7414;7104;7663;95;91;98;
21636;6649;6434;6836;96;92;98;
21863;5894;5850;5927;96;93;98;
21308;6552;6384;6700;95;91;98;
21313;6468;6173;6711;94;91;97;
21791;6696;6424;6930;94;90;98;
21430;6041;5841;6199;94;91;97;
20987;6360;6337;6380;95;92;98;
21405;6509;6349;6639;94;90;98;
21211;6417;6277;6530;95;91;98;
21098;5793;5700;5868;94;91;97;
21383;6406;6193;6581;95;91;98;
21196;7078;6801;7309;95;90;100;
21823;6375;6107;6597;95;92;98;
21408;6235;6177;6284;95;91;98;
21235;6048;5778;6285;94;90;97;
21256;5868;5713;5999;93;89;96;
21126;6904;6629;7134;93;90;96;
21555;5402;5285;5499;94;91;96;
21704;7118;6801;7376;95;90;98;
21209;5805;5566;5993;95;90;98;
21217;6584;6253;6882;95;91;98;
21582;5753;5590;5886;94;91;97;
21438;6111;5879;6292;95;91;98;
21614;6611;6347;6834;95;91;98;
21531;5796;5604;5942;95;90;99;
21222;6545;6377;6678;95;92;97;
21590;6244;6068;6398;93;90;96;
21301;6806;6580;6996;94;89;98;
21720;7439;7169;7679;95;91;99;
21908;6807;6588;6977;95;90;99;
21190;6117;6028;6186;95;90;98;
21650;5646;5591;5688;95;91;99;
21280;5650;5335;5909;95;91;98;
21718;6550;6440;6636;96;92;98;
21333;6442;6301;6556;93;90;96;
21389;6264;6146;6359;96;92;99;
21544;6893;6665;7073;94;89;97;
21685;6288;6193;6368;95;91;97;
21255;6181;5946;6370;94;90;97;
21703;6199;6015;6344;95;91;98;
21562;6650;6371;6866;95;92;98;
21776;6666;6337;6927;93;88;97;
21581;6461;6244;6634;93;89;96;
21465;5673;5420;5878;93;88;96;
21500;6444;6324;6538;94;91;97;
21534;5853;5480;6145;94;90;98;
21661;7109;6848;7322;96;92;100;
21636;6037;5864;6166;95;91;97;
21807;6664;6431;6853;96;91;99;
21458;6210;6129;6278;95;91;98;
21776;5154;5057;5241;94;91;97;
21594;5936;5856;6001;94;92;96;
21560;5702;5545;5838;94;89;97;
21457;6709;6730;6692;95;92;98;
21400;6082;5780;6334;95;92;98;
21438;5700;5325;5998;94;90;97;
21955;5973;5809;6104;94;90;98;
21802;6852;6547;7109;94;89;98;
21723;6621;6483;6728;95;91;97;
21331;6373;6219;6500;95;91;98;
21475;6534;6414;6630;95;91;98;
21511;6723;6474;6928;95;91;98;
21624;5712;5640;5769;95;91;98;
21560;5971;5757;6146;95;91;99;
21384;6822;6597;7016;94;90;97;
21352;5662;5589;5722;95;91;98;
21761;6730;6405;6993;94;90;97;
21932;6894;6605;7126;95;91;98;
21464;6951;6738;7134;94;90;98;
21072;6770;6560;6953;95;91;98;
20726;6084;6022;6137;94;92;96;
21756;6467;6247;6644;95;91;99;
21460;6398;6209;6564;94;90;97;
21589;6356;6188;6482;95;91;99;
21208;5822;5647;5964;94;91;97;
21315;5405;5234;5533;95;90;98;
21399;6286;6147;6396;95;90;99;
21556;6681;6245;7042;93;88;97;
