;P+R De Uithof;WKZ;UMC;Heidelberglaan;Padualaan;Kromme Rijn;Galgenwaard;Vaartsche Rijn;Centraal Station
06:00;9.62E-07;6.15E-05;0.000190429;0.003724475;0.001750447;0.000244089;0.00032719;0.003032316;0
06:15;0;0;0;0;0;0;0;0;0
06:30;1.83E-06;0.000117067;0.000362725;0.008631297;0;0.000116234;0.001246449;0.005237405;0
06:45;5.29E-06;0.000338031;0.001047367;0.008442131;0;0.001220456;0.002126759;0.006064622;0
07:00;1.62E-05;0.004900223;0.001261444;0.007647097;0.000685999;0.016332863;0.001688268;0.007432866;0
07:15;4.51E-05;0.013671645;0.003519433;0.0177088;0.012245096;0.014608879;0.002454484;0.015214863;0
07:30;0.000102117;0.030941435;0.007965122;0.025979198;0.009946981;0.026011597;0.008830939;0.028380046;0
07:45;0.000171427;0.051942418;0.013371316;0.024407877;0.012690976;0.028431281;0.007921872;0.038140389;0
08:00;0.000114593;0.034721607;0.008938236;0.019903423;0.013719974;0.01391318;0.00961014;0.028004663;0
08:15;0.00025691;0.077843624;0.020038953;0.028493312;0.021608959;0.018147626;0.011558141;0.030857682;0
08:30;0.00017882;0.05418252;0.013947975;0.02734101;0.020579961;0.026011597;0.011298408;0.027479107;0
08:45;0.000225951;0.068463197;0.017624189;0.020741461;0.018521965;0.012098417;0.00441547;0.014490348;0
09:00;0.000121271;0.007744;0.023994272;0.018498193;0.003792606;0.001647617;0.001745033;0.012129262;0
09:15;9.53E-05;0.006087497;0.018861709;0.019390881;0.005279096;0.001394807;0.001558062;0.00812532;0
09:30;0.000117329;0.007492303;0.023214407;0.021046199;0.007085102;0.001162339;0.001246449;0.008223215;0
09:45;0.000115954;0.007404503;0.022942363;0.038781763;0.017087625;0.002963964;0.002389028;0.010915348;0
10:00;5.50E-05;0.00351202;0.010881762;0.032633419;0.020421791;0.00209221;0.002960317;0.012334832;0
10:15;0.000118246;0.007550837;0.023395769;0.037008208;0.049873614;0.00209221;0.002648705;0.010523766;0
10:30;0.000306156;0.019550236;0.060575117;0.123675978;0.114750974;0.006857811;0.004933871;0.019970683;0
10:45;0.000165911;0.010594588;0.032826633;0.254327914;0.077936202;0.026036416;0.003843219;0.012236946;0
11:00;0.000133783;0.008542981;0.026469864;0.132963489;0.067100163;0.016659244;0.005071499;0.01505878;0
11:15;7.88E-05;0.005033893;0.015597185;0.083711846;0.081131444;0.010809764;0.004154831;0.020558056;0
11:30;0.000150786;0.009628784;0.029834153;0.07768174;0.066822316;0.004533122;0.004570314;0.030592345;0
11:45;0.0002342;0.014955345;0.04633815;0.172862592;0.093356744;0.005521121;0.007219028;0.026431781;0
12:00;0.000201201;0.012848131;0.039809086;0.159856506;0.118918707;0.005172409;0.00810193;0.031130779;0
12:15;0.00017691;0.011296991;0.035002982;0.180666231;0.216998826;0.007555215;0.00945225;0.04415087;0
12:30;0.000250241;0.015979683;0.049511992;0.248416067;0.184490685;0.011042232;0.005609031;0.031081822;0
12:45;0.000302948;0.019345363;0.059940332;0.533840342;0.219499451;0.030104613;0.006855481;0.026676529;0
13:00;0.000225034;0.014370009;0.044524526;0.246406039;0.194215335;0.025106545;0.008829025;0.033871842;0
13:15;0.000165911;0.010594588;0.032826633;0.149569892;0.167680906;0.008950021;0.006699675;0.030641302;0
13:30;0.000180119;0.011501859;0.03563775;0.124621874;0.155872403;0.004881824;0.005816773;0.033431312;0
13:45;0.000148953;0.009511717;0.029471428;0.187760447;0.139201548;0.005462993;0.007894188;0.039353994;0
14:00;0.000270865;0.017296688;0.053592647;0.269580502;0.245061414;0.007613332;0.009815798;0.054968322;0
14:15;0.000244741;0.015628481;0.048423818;0.143066837;0.203662164;0.005462993;0.005660967;0.03475291;0
14:30;0.000377195;0.024086589;0.074630705;0.345488688;0.279792359;0.008310735;0.010854505;0.05159094;0
14:45;0.00037032;0.023647587;0.073270487;0.369017885;0.166569518;0.011972103;0.012931921;0.035340282;0
15:00;0.000733307;0.046826905;0.145090074;0.540225138;0.308549564;0.03359163;0.017658051;0.030690241;0
